Date	Netherlands	Greece
4/13/1993	373.51	312.328
4/14/1993	374.228	317.426
4/15/1993	374.764	315.769
4/16/1993	376.363	315.769
4/19/1993	377.43	315.769
4/20/1993	376.295	311.509
4/21/1993	375.864	311.39
4/22/1993	377.626	311.497
4/23/1993	373.519	309.409
4/26/1993	371.356	303.99
4/27/1993	368.185	299.494
4/28/1993	368.739	294.505
4/29/1993	364.372	299.711
4/30/1993	364.372	303.094
5/3/1993	365.595	315.58
5/4/1993	365.033	308.911
5/5/1993	368.131	314.219
5/6/1993	367.67	294.059
5/7/1993	367.626	301.36
5/10/1993	370.054	302.661
5/11/1993	371.112	307.766
5/12/1993	372.442	307.736
5/13/1993	375.676	301.65
5/14/1993	369.071	301.668
5/17/1993	367.115	301.466
5/18/1993	367.071	302.966
5/19/1993	363.417	302.723
5/20/1993	363.417	303.521
5/21/1993	366.065	303.351
5/24/1993	367.653	303.84
5/25/1993	370.797	302.972
5/26/1993	371.643	303.244
5/27/1993	374.477	301.376
5/28/1993	371.506	304.342
5/31/1993	371.506	311.434
6/1/1993	367.524	306.719
6/2/1993	368.651	306.443
6/3/1993	368.896	307.138
6/4/1993	368.719	308.135
6/7/1993	371.836	308.135
6/8/1993	373.757	319.616
6/9/1993	377.973	323.024
6/10/1993	375.818	319.767
6/11/1993	377.513	318.234
6/14/1993	378.695	315.212
6/15/1993	378.933	315.36
6/16/1993	381.011	319.108
6/17/1993	380.336	320.603
6/18/1993	382.122	322.641
6/21/1993	384.389	327.385
6/22/1993	386.227	331.638
6/23/1993	387.297	330.04
6/24/1993	385.268	328.8
6/25/1993	387.107	327.502
6/28/1993	389.084	321.125
6/29/1993	388.312	322.123
6/30/1993	390.329	325.707
7/1/1993	390.468	325.129
7/2/1993	388.705	324.769
7/5/1993	387.369	323.703
7/6/1993	390.069	327.838
7/7/1993	391.205	332.166
7/8/1993	394.724	333.548
7/9/1993	395.306	344.524
7/12/1993	394.799	350.679
7/13/1993	393.499	354.369
7/14/1993	391.598	356.369
7/15/1993	390.531	358.581
7/16/1993	391.385	356.247
7/19/1993	391.397	357.785
7/20/1993	388.195	357.722
7/21/1993	386.34	361.574
7/22/1993	389.955	365.918
7/23/1993	391.298	367.344
7/26/1993	394.417	374.13
7/27/1993	395.459	370.442
7/28/1993	397.508	366.89
7/29/1993	399.779	368.399
7/30/1993	403.566	372.754
8/2/1993	402.273	381.668
8/3/1993	404.667	390.537
8/4/1993	403.739	387.823
8/5/1993	402.184	387.523
8/6/1993	402.461	393.89
8/9/1993	404.447	404.038
8/10/1993	405.003	400.755
8/11/1993	408.584	405.653
8/12/1993	411.029	404.272
8/13/1993	411.997	413.058
8/16/1993	413.474	410.957
8/17/1993	413.906	403.153
8/18/1993	417.036	399.125
8/19/1993	418.002	399.701
8/20/1993	415.703	396.75
8/23/1993	415.764	379.888
8/24/1993	418.074	384.247
8/25/1993	422.203	378.517
8/26/1993	418.593	387.131
8/27/1993	421.371	395.694
8/30/1993	424.307	389.249
8/31/1993	426.1	383.224
9/1/1993	421.92	372.262
9/2/1993	420.059	375.053
9/3/1993	415.032	380.87
9/6/1993	415.056	369.476
9/7/1993	413.067	357.349
9/8/1993	408.524	376.414
9/9/1993	408.919	348.467
9/10/1993	408.901	351.42
9/13/1993	409.888	344.175
9/14/1993	409.661	330.246
9/15/1993	404.021	332.455
9/16/1993	405.119	337.685
9/17/1993	405.84	340.726
9/20/1993	407.311	347.231
9/21/1993	407.227	343.813
9/22/1993	405.79	343.253
9/23/1993	409.871	351.885
9/24/1993	409.757	350.363
9/27/1993	412.491	361.441
9/28/1993	412.013	365.003
9/29/1993	410.479	362.882
9/30/1993	415.093	361.012
10/1/1993	417.061	363.005
10/4/1993	418.098	365.138
10/5/1993	420.225	368.717
10/6/1993	423.426	365.714
10/7/1993	422.377	364.848
10/8/1993	423.132	372.695
10/11/1993	424.481	368.545
10/12/1993	424.651	376.766
10/13/1993	424.058	389.838
10/14/1993	424.813	388.181
10/15/1993	431.297	387.182
10/18/1993	436.535	383.98
10/19/1993	437.2	379.929
10/20/1993	439.794	378.291
10/21/1993	444.294	386.093
10/22/1993	448.766	383.335
10/25/1993	448.492	379.257
10/26/1993	449.057	373.731
10/27/1993	445.305	370.64
10/28/1993	449.07	370.64
10/29/1993	450.162	372.93
11/1/1993	452.794	366.348
11/2/1993	456.997	361.688
11/3/1993	457.953	368.111
11/4/1993	460.426	367.839
11/5/1993	452.183	366.275
11/8/1993	450.153	365.693
11/9/1993	451.968	364.738
11/10/1993	448.033	366.791
11/11/1993	442.754	366.286
11/12/1993	442.721	366.028
11/15/1993	446.465	369.773
11/16/1993	443.697	372.601
11/17/1993	442.397	372.257
11/18/1993	446.817	376.665
11/19/1993	445.343	377.91
11/22/1993	438.158	383.835
11/23/1993	438.879	381.839
11/24/1993	440.261	384.886
11/25/1993	442.343	379.823
11/26/1993	441.683	376.073
11/29/1993	439.744	384.634
11/30/1993	443.79	386.483
12/1/1993	449.896	393.732
12/2/1993	452.407	399.39
12/3/1993	454.24	400.589
12/6/1993	456.64	407.228
12/7/1993	456.842	408.026
12/8/1993	459.734	408.148
12/9/1993	456.41	406.511
12/10/1993	454.846	408.886
12/13/1993	455.072	413.063
12/14/1993	450.883	418.746
12/15/1993	449.498	417.826
12/16/1993	453.559	415.361
12/17/1993	458.533	416.47
12/20/1993	463.094	410.036
12/21/1993	461.866	402.637
12/22/1993	464.155	406.302
12/23/1993	469.276	409.531
12/24/1993	468.892	408.311
12/27/1993	471.919	412.167
12/28/1993	469.354	422.692
12/29/1993	469.465	431.781
12/30/1993	472.524	430.974
12/31/1993	472.524	435.305
1/3/1994	475.379	450.01
1/4/1994	476.18	453.06
1/5/1994	479.954	465.265
1/6/1994	484.435	465.265
1/7/1994	483.535	492.256
1/10/1994	483.175	488.909
1/11/1994	482.372	482.977
1/12/1994	478.219	481.501
1/13/1994	475.15	490.219
1/14/1994	479.679	495.971
1/17/1994	484.147	516.736
1/18/1994	485.864	528.823
1/19/1994	488.387	515.202
1/20/1994	485.737	502.715
1/21/1994	488.266	510.079
1/24/1994	490.146	521.422
1/25/1994	485.983	508.535
1/26/1994	486.218	496.288
1/27/1994	483.732	496.243
1/28/1994	487.773	484.238
1/31/1994	496.273	477.319
2/1/1994	493.502	489.524
2/2/1994	494.493	494.497
2/3/1994	493.5	495.534
2/4/1994	492.26	501.412
2/7/1994	483.877	481.678
2/8/1994	491.778	481.942
2/9/1994	491.977	476.809
2/10/1994	492.727	483.019
2/11/1994	493.956	479.769
2/14/1994	488.892	459.729
2/15/1994	486.443	456.483
2/16/1994	488.981	466.048
2/17/1994	491.078	468.123
2/18/1994	485.161	482.255
2/21/1994	483.149	503.707
2/22/1994	480.088	494.421
2/23/1994	483.88	488.695
2/24/1994	474.063	483.141
2/25/1994	470.527	485.13
2/28/1994	476.67	484.497
3/1/1994	472.149	493.258
3/2/1994	463.643	489.405
3/3/1994	467.387	485.304
3/4/1994	468.446	489.393
3/7/1994	476.289	485.146
3/8/1994	475.48	484.284
3/9/1994	471.614	480.79
3/10/1994	473.25	482.434
3/11/1994	468.891	483.95
3/14/1994	474.424	483.95
3/15/1994	476.255	488.588
3/16/1994	475.81	487.718
3/17/1994	476.079	487.505
3/18/1994	470.831	482.492
3/21/1994	468.029	480.878
3/22/1994	464.53	478.488
3/23/1994	466.079	477.877
3/24/1994	460.005	474.753
3/25/1994	454.502	474.753
3/28/1994	458.838	467.704
3/29/1994	455.264	467.353
3/30/1994	453.829	458.52
3/31/1994	450.235	450.409
4/1/1994	450.235	455.322
4/4/1994	450.235	446.241
4/5/1994	450.456	448.898
4/6/1994	459.786	447.147
4/7/1994	462.548	442.932
4/8/1994	467.795	447.485
4/11/1994	475.241	437.832
4/12/1994	478.221	428.083
4/13/1994	477.991	434.311
4/14/1994	476.652	433.584
4/15/1994	481.536	439.281
4/18/1994	480.476	446.463
4/19/1994	473.909	441.819
4/20/1994	470.465	437.277
4/21/1994	470.342	437.741
4/22/1994	475.795	435.592
4/25/1994	471.624	439.73
4/26/1994	476.556	438.152
4/27/1994	477.62	441.766
4/28/1994	475.557	445.076
4/29/1994	470.064	445.076
5/2/1994	467.098	445.076
5/3/1994	468.149	443.039
5/4/1994	463.884	447.165
5/5/1994	464.582	445.595
5/6/1994	466.956	442.961
5/9/1994	462.563	443.005
5/10/1994	466.652	437.2
5/11/1994	468.063	428.608
5/12/1994	468.063	428.608
5/13/1994	468.492	421.082
5/16/1994	469.674	429.832
5/17/1994	469.241	427.132
5/18/1994	469.878	419.144
5/19/1994	469.948	410.765
5/20/1994	463.397	414.914
5/23/1994	463.397	402.134
5/24/1994	458.802	387.188
5/25/1994	453.159	365.591
5/26/1994	453.753	382.027
